instance_name,application_freq,Desired_Count,Run_Count,success_count,Missed_Additional
"BNK_SBI_Yono_2.0_Close_FD_Android","15","960","1194","995","35"
"BNK_SBI_Yono_2.0_Close_FD_iOS","15","960","1021","888","-72"
"BNK_SBI_Yono_2.0_Close_FD_Web","15","960","974","883","-77"
"BNK_SBI_Yono_2.0_Close_RD_Android","15","960","1406","1176","216"
"BNK_SBI_Yono_2.0_Close_RD_iOS","15","960","1059","935","-25"
"BNK_SBI_Yono_2.0_Close_RD_Web","15","960","988","905","-55"
"BNK_SBI_Yono_2.0_Delete_Beneficiary_iOS","15","960","26","24","-936"
"BNK_SBI_Yono_2.0_Demat_Account_Android","15","960","1085","858","-102"
"BNK_SBI_Yono_2.0_Demat_Account_iOS","15","960","1050","855","-105"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_Android","15","960","1111","851","-109"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_iOS","15","960","1035","907","-53"
"BNK_SBI_Yono_2.0_Domestic_IMPS_Fund_Transfer_Web","15","960","988","854","-106"
"BNK_SBI_Yono_2.0_Domestic_NEFT_Fund_Transfer_Android","15","960","1091","854","-106"
"BNK_SBI_Yono_2.0_Domestic_NEFT_Fund_Transfer_iOS","15","960","1077","898","-62"
"BNK_SBI_Yono_2.0_Download_Statement_Android","15","1000","1020","690","-310"
"BNK_SBI_Yono_2.0_Download_Statement_iOS","15","1000","1001","921","-79"
"BNK_SBI_Yono_2.0_E-Secure_Android","15","960","1003","893","-67"
"BNK_SBI_Yono_2.0_E-Secure_iOS","15","960","1026","903","-57"
"BNK_SBI_Yono_2.0_Electricity_Bill_Payment_Android","15","960","1116","886","-74"
"BNK_SBI_Yono_2.0_Electricity_Bill_Payment_iOS","15","960","1046","854","-106"
"BNK_SBI_Yono_2.0_ETBSA_Android","15","960","1101","620","-340"
"BNK_SBI_Yono_2.0_ETBSA_iOS","15","960","1114","638","-322"
"BNK_SBI_Yono_2.0_ETBSA_Web","15","960","990","618","-342"
"BNK_SBI_Yono_2.0_FasTag_Bill_Payment_Web","15","960","1024","840","-120"
"BNK_SBI_Yono_2.0_FastTag_Bill_Payment_Android","15","960","1072","840","-120"
"BNK_SBI_Yono_2.0_FastTag_Bill_Payment_iOS","15","960","1062","860","-100"
"BNK_SBI_Yono_2.0_Feedback_Journey_Android","15","960","1028","920","-40"
"BNK_SBI_Yono_2.0_Feedback_Journey_iOS","15","960","1005","930","-30"
"BNK_SBI_Yono_2.0_Feedback_Web","15","960","969","868","-92"
"BNK_SBI_Yono_2.0_GI_Redirection_Health_Purchase_Android","15","960","933","0","-960"
"BNK_SBI_Yono_2.0_GI_Redirection_Health_Purchase_iOS","15","960","1171","826","-134"
"BNK_SBI_Yono_2.0_GI_Redirection_Motor_Purchase_Android","15","960","927","0","-960"
"BNK_SBI_Yono_2.0_GI_Redirection_Motor_Purchase_iOS","15","960","947","0","-960"
"BNK_SBI_Yono_2.0_GI_Redirection_Motor_Web","15","960","1176","800","-160"
"BNK_SBI_Yono_2.0_GPAI_Android","15","960","535","499","-461"
"BNK_SBI_Yono_2.0_GPAI_iOS","15","960","1074","868","-92"
"BNK_SBI_Yono_2.0_GSA_Android","15","960","148","58","-902"
"BNK_SBI_Yono_2.0_GSA_iOS","15","960","1171","841","-119"
"BNK_SBI_Yono_2.0_LI_Redirection_Android","15","960","1350","785","-175"
"BNK_SBI_Yono_2.0_LI_Redirection_iOS","15","960","1018","890","-70"
"BNK_SBI_Yono_2.0_Login&Logout_Web","15","960","996","939","-21"
"BNK_SBI_Yono_2.0_Manage_Existing_Deposits_Android","15","960","1098","946","-14"
"BNK_SBI_Yono_2.0_Manage_Existing_Deposits_iOS","15","960","982","904","-56"
"BNK_SBI_Yono_2.0_Mobile_Postpaid_Bill_Payment_Web","15","960","1033","883","-77"
"BNK_SBI_Yono_2.0_Mobile_Recharge_Bill_Payment_Web","15","960","1034","869","-91"
"BNK_SBI_Yono_2.0_Motorz_Android","15","960","1165","445","-515"
"BNK_SBI_Yono_2.0_Motorz_iOS","15","960","1086","549","-411"
"BNK_SBI_Yono_2.0_MPIN_SMS_Android","15","960","1080","880","-80"
"BNK_SBI_Yono_2.0_MPIN_SMS_iOS","15","960","984","928","-32"
"BNK_SBI_Yono_2.0_NPS_Android","15","960","1129","875","-85"
"BNK_SBI_Yono_2.0_NPS_iOS","15","960","1064","882","-78"
"BNK_SBI_Yono_2.0_NPS_Web","15","960","1024","863","-97"
"BNK_SBI_YONO_2.0_Open_FD_Android","15","960","1075","896","-64"
"BNK_SBI_Yono_2.0_Open_FD_iOS","15","960","1105","972","12"
"BNK_SBI_Yono_2.0_Open_FD_Web","15","960","973","869","-91"
"BNK_SBI_Yono_2.0_Open_RD_Android","15","960","1299","1084","124"
"BNK_SBI_Yono_2.0_Open_RD_iOS","15","960","1150","1005","45"
"BNK_SBI_Yono_2.0_Open_RD_Web","15","960","978","873","-87"
"BNK_SBI_Yono_2.0_PPF_Android","15","960","1136","651","-309"
"BNK_SBI_Yono_2.0_PPF_iOS","15","960","1129","864","-96"
"BNK_SBI_Yono_2.0_Prepaid_Recharge_Android","15","960","1060","889","-71"
"BNK_SBI_Yono_2.0_Prepaid_Recharge_iOS","15","960","1012","883","-77"
"BNK_SBI_Yono_2.0_Savings_Account_Opening_Android","15","1320","1133","892","-428"
"BNK_SBI_Yono_2.0_Savings_Account_Opening_iOS","15","1320","1009","909","-411"
"BNK_SBI_Yono_2.0_Smart_Shield_Plus_Android","15","960","1170","775","-185"
"BNK_SBI_Yono_2.0_Smart_Shield_Plus_iOS","15","960","1108","885","-75"
"BNK_SBI_Yono_2.0_Start_SIP_Android","15","960","1143","844","-116"
"BNK_SBI_Yono_2.0_Start_SIP_iOS","15","960","1042","864","-96"
"BNK_SBI_Yono_2.0_Tax_Related_Services_Android","15","960","1014","696","-264"
"BNK_SBI_Yono_2.0_Tax_Related_Services_iOS","15","960","982","925","-35"
"BNK_SBI_Yono_2.0_UPI_Fund_Transfer_Android","15","960","1036","901","-59"
"BNK_SBI_Yono_2.0_UPI_Fund_Transfer_iOS","15","960","1009","917","-43"
"BNK_SBI_Yono_2.0_User_Profile_Management_Android","15","960","1014","892","-68"
"BNK_SBI_Yono_2.0_User_Profile_Management_IOS","15","960","987","906","-54"
"BNK_SBI_Yono_2.0_Within_Bank_Fund_Transfer_Android","15","960","1070","831","-129"
"BNK_SBI_Yono_2.0_Within_Bank_Fund_Transfer_iOS","15","960","1048","890","-70"
